STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
E.A.T Marketplace,EVgo,41952 6th Street,Temecula,CA,92590,125,50,0.35,0.3,6.99,NULL,NULL
Palm Springs Nissan,None,68177 Kyle Road,Cathedral City,CA,92234,NULL,NULL,0,NULL,NULL,NULL,NULL
Larry H. Miller Nissan Corona Parts Department,None,2575 Wardlow Road,Corona,CA,92882,NULL,NULL,0,NULL,NULL,NULL,NULL
Mossy Nissan - Poway,None,14100 Poway Road,Poway,CA,92064,NULL,NULL,0,NULL,NULL,NULL,NULL
Larry H Miller Nissan - San Bernardino,None,735 Showcase Drive South,San Bernardino,CA,92408,NULL,NULL,0,NULL,NULL,NULL,NULL
Pacific Nissan,None,4433 Mission Bay Drive,San Diego,CA,92109,NULL,NULL,0,NULL,NULL,NULL,NULL
Empire Nissan,None,1377 Kettering Loop,Ontario,CA,91761,NULL,NULL,0,NULL,NULL,NULL,NULL
Nissan - San Juan Capistrano,None,33633 Camino Capistrano,San Juan Capistrano,CA,92675,NULL,NULL,0,NULL,NULL,NULL,NULL
Palm Springs Visitors Center,"EVgo, None",2901 North Palm Canyon Drive,Palm Springs,CA,92262,125,50,0.35,0.3,6.99,NULL,NULL
Metro Nissan Of Redlands,None,1665 Industrial Park Avenue,Redlands,CA,92374,NULL,NULL,0,NULL,NULL,NULL,NULL
Riverside Nissan,None,8330 Indiana Avenue,Riverside,CA,92504,NULL,NULL,0,NULL,NULL,NULL,NULL
Torre Nissan,None,79125 Highway 111,La Quinta,CA,92253,NULL,NULL,0,NULL,NULL,NULL,NULL
City of Palm Springs - City Hall,ChargePoint,3200 East Tahquitz Canyon Way,Palm Springs,CA,92262,62,62,0.35,NULL,NULL,NULL,NULL
Metro Nissan of Montclair Parts Center,None,9440 Autoplex Drive,Montclair,CA,91763,NULL,NULL,0,NULL,NULL,NULL,NULL
Las Americas Premium Outlets,EVgo,4211 Camino de la Plz,San Ysidro,CA,92173,125,50,0.35,0.3,6.99,NULL,NULL
Whole Foods - Flower Hill Promenade,EVgo,2600 Via de la Valle,Del Mar,CA,92014,125,50,0.35,0.3,6.99,NULL,NULL
Mossy Nissan Kearny Mesa,None,8118 Clairemont Mesa Boulevard,San Diego,CA,92111,NULL,NULL,0,NULL,NULL,NULL,NULL
SDGE Innovation Center,EVgo,4760 Clairemont Mesa Boulevard,San Diego,CA,92117,125,50,0.39,0.29,6.99,NULL,NULL
555 Shops Boulevard,Electrify America,555 Shops Boulevard,Mission Viejo,CA,92691,875,350,0.43,0.31,4,NULL,NULL
Del Norte Plaza,"None, EVgo",330 West El Norte Parkway,Escondido,CA,92026,125,50,0.35,0.3,6.99,NULL,NULL
Country Fair Shopping Center,EVgo,11995 Central Avenue,Chino,CA,91710,125,50,0.35,0.3,6.99,NULL,NULL
Broadway Plaza,EVgo,1142 Broadway,Chula Vista,CA,91911,125,50,0.35,0.3,6.99,NULL,NULL
Mossy Nissan - Oceanside,None,3535 College Boulevard,Oceanside,CA,92056,NULL,NULL,0,NULL,NULL,NULL,NULL
Vons Rancho Penasquitos Center,EVgo,13289 Black Mountain Road,San Diego,CA,92129,125,50,0.39,0.29,6.99,NULL,NULL
Carlsbad Premium Outlets,EVgo,5620 Paseo del Norte,Carlsbad,CA,92008,125,50,0.35,0.3,6.99,NULL,NULL
7-Eleven,EVgo,901 Palomar Airport Road,Carlsbad,CA,92011,125,50,0.35,0.3,6.99,NULL,NULL
"7-Eleven - Convoy Street, San Diego",EVgo,4080 Convoy Street,San Diego,CA,92111,125,50,0.39,0.29,6.99,NULL,NULL
Chase Bank - Corona,EVgo,360 North McKinley Street,Corona,CA,92879,125,50,0.35,0.3,6.99,NULL,NULL
"7-Eleven - Garnet Avenue,San Diego",EVgo,2805 Garnet Avenue,San Diego,CA,92109,125,50,0.39,0.29,6.99,NULL,NULL
"Walmart Supercenter - East Highland Avenue, Highland",EVgo,4210 Highland Avenue,Highland,CA,92346,125,50,0.35,0.3,6.99,NULL,NULL
Walmart - Redlands Boulevard,EVgo,2050 West Redlands Boulevard,Redlands,CA,92373,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,Electrify America,479 McKinley Street,Corona,CA,92879,875,350,0.43,0.31,4,NULL,NULL
BMW,ChargePoint,1175 South Dupont Avenue,Ontario,CA,91761,52,23.9,0,NULL,NULL,NULL,NULL
Riverside City Hall,GreenLots,3900 North Main Street,Riverside,CA,92522,75,30,0.15,NULL,NULL,NULL,NULL
CPEX,ChargePoint,1600 Pacific Highway,San Diego,CA,92101,52,23.9,0.2,NULL,NULL,0.08,NULL
Quality Nissan - Temecula,None,41895 Motor Car Parkway,Temecula,CA,92591,NULL,NULL,0,NULL,NULL,NULL,NULL
Plaza Rio Vista,EVgo,67800 Vista Chino,Cathedral City,CA,92234,125,50,0.35,0.3,6.99,NULL,NULL
Dollar Tree,EVgo,1126 Calimesa Boulevard,Calimesa,CA,92320,125,50,0.35,0.3,6.99,NULL,NULL
Morongo Casino Resort and Spa,EVgo,49500 Seminole Drive,Cabazon,CA,92230,125,50,0.35,0.3,6.99,NULL,NULL
Kohl's - Mira Mesa Mall,EVgo,8110 Mira Mesa Boulevard,San Diego,CA,92126,125,50,0.39,0.29,6.99,NULL,NULL
Albertson's,EVgo,1601 South Melrose Drive,Vista,CA,92081,125,50,0.35,0.3,6.99,NULL,NULL
Ontario Mills - Skechers,EVgo,1 Mills Circle,Ontario,CA,91764,125,50,0.29,0.25,6.99,NULL,NULL
Fenton Market Place,EVgo,2149 Fenton Parkway,San Diego,CA,92108,125,50,0.39,0.29,6.99,NULL,NULL
The Colonies Marketplace,EVgo,2275 South Euclid Avenue,Ontario,CA,91762,125,50,0.29,0.25,6.99,NULL,NULL
Encinitas City Hall,None,505 South Vulcan Avenue,Encinitas,CA,92024,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UCSD - Voigt Campus Point Drive Parking,ChargePoint,3683 Voigt Drive,San Diego,CA,92037,62,62,0.35,NULL,NULL,NULL,NULL
