STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Denver International Airport - Canopy Airport Parking,None,8100 Tower Rd,Commerce City,CO,80022,"? A, ? kW",Cost: 0.00$ / Free
Larry H Miller Nissan - Arapahoe,None,10030 East Arapahoe Road,Centennial,CO,80112,"? A, ? kW",Cost: 0.00$ / Free
Larry H. Miller Nissan,None,2400 West 104th Avenue,Denver,CO,80234,"? A, ? kW",Cost: 0.00$ / Free
Valley Nissan,None,1005 Ken Pratt Boulevard,Longmont,CO,80501,"? A, ? kW",Cost: 0.00$ / Free
City of Denver - Denver Performing Arts Center Garage,None,1055 13th Street,Denver,CO,80204,"? A, ? kW",Cost: 0.00$ / Free
Boulder Nissan,None,2285 28th Street,Boulder,CO,80301,"? A, ? kW",Cost: 0.00$ / Free
15th & Pearl Parking Garage,ChargePoint,1500 Pearl Street,Boulder,CO,80302,"62 A, 62 kW",Cost: Energy 0.45 USD per kWh Parking 0 USD per minute for first 30 mins Parking 0.25 USD per minute after 30 mins
Larry H Miller Nissan,None,1320 Plum Valley Lane,Highlands Ranch,CO,80129,"? A, ? kW",Cost: 0.00$ / Free
Edwards Station,Electrify America,434 Edwards Access Road,Edwards,CO,81632,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Arapahoe Crossings,EVgo,6564 South Parker Road,Aurora,CO,80016,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Highlands Ranch Shopping Center,EVgo,9579 South University Boulevard,Highlands Ranch,CO,80126,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Jax Outdoor Gear - Fort Collins,EVgo,1200 North College Avenue,Fort Collins,CO,80524,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Jax Outdoor Gear - Loveland,EVgo,950 East Eisenhower Boulevard,Loveland,CO,80537,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Lionshead Parking Structure,ChargePoint,395 East Lionshead Circle,Vail,CO,81657,"62 A, 62 kW",Cost: Energy 0.2 USD per kWh Parking 0 USD per minute for first 75 mins Parking 1 USD per minute after 75 mins Max Fee 750 USD
Flatiron Crossing,EVgo,1 West Flatiron Crossing Drive,Broomfield,CO,80021,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Superior Marketplace,EVgo,405 Center Drive,Superior,CO,80027,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Jax Outdoor Gear - Lafayette,EVgo,900 South US Highway 287,Lafayette,CO,80026,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Tynan's Nissan,None,780 South Havana Street,Aurora,CO,80012,"? A, ? kW",Cost: 0.00$ / Free
Northridge Shopping Center,EVgo,7790 West 80th Avenue,Arvada,CO,80005,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Greeley Commons,EVgo,4711 29th Street,Greeley,CO,80634,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
BMW Of Denver,ChargePoint,1030 South Colorado Boulevard,Denver,CO,80246,"52 A, 23.9 kW",Cost: Free
22470 E. 6th Parkway,ChargePoint,22470 East Stephen D. Hogan Parkway,Aurora,CO,80018,"62 A, 62 kW",Cost: Free
Alliance Center,ChargePoint,1536 Wynkoop Street,Denver,CO,80202,"100 A, 50 kW",Cost: Energy 2:00 PM - 6:00 PM 0.26 USD per kWh 6:00 PM - 2:00 PM 0 USD per kWh Flat Fee 8.5 USD
REI,EVgo,1416 Platte Street,Denver,CO,80202,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walmart,EVgo,3301 Tower Road,Aurora,CO,80011,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
