STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Lithia Nissan of Bend,None,1835 Northeast Highway 20,Bend,OR,97701,NULL,NULL,0,NULL,NULL,NULL,NULL
Canyonville - 7 Feathers Truck and Travel Center,Webasto,130 Creekside Road,Canyonville,OR,97417,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Roth's South Salem Oregon,OpConnect,3045 Commercial Street Southeast,Salem,OR,97302,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sisters - Sisters Mainline Station,Webasto,1001 West Railway Avenue,Sisters,OR,97759,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Mill City - Mountain Edge Café,Webasto,320 Northwest Santiam Boulevard,Mill City,OR,97360,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Veneta - Veneta Park n' Ride,Webasto,88184 Territorial Road,Veneta,OR,97487,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Springfield - Gateway Marketplace,Webasto,840 Beltline Road,Springfield,OR,97477,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Cottage Grove - Vintage Inn Restaurant,Webasto,1570 Gateway Boulevard,Cottage Grove,OR,97424,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Lincoln City - Lincoln City Cultural Center,Webasto,540 U.S. 101,Lincoln City,OR,97367,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Yachats - Yachats City Hall,Webasto,441 Highway 101 North,Yachats,OR,97498,NULL,NULL,NULL,NULL,19.99,NULL,7.5
McKenzie Bridge - Blue Sky Market,Webasto,91808 Mill Creek Road,McKenzie Bridge,OR,97413,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Grants Pass - Grants Pass Chamber of Commerce,Webasto,1995 Northwest Vine Street,Grants Pass,OR,97528,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Florence - Three Rivers Casino,Webasto,5647 Highway 126,Florence,OR,97439,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Newport - City of Newport Public Parking Lot,Webasto,925 Southwest Hurbert Street,Newport,OR,97365,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Monmouth - Dairy Queen,Webasto,320 Pacific Avenue South,Monmouth,OR,97361,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Ashland - Shell,Webasto,2373 Ashland Street,Ashland,OR,97520,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Elkton - Brandborg Winery,Webasto,345 First Street,Elkton,OR,97436,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Roseburg - Wagon Wheel Restaurant,Webasto,188 Northwest Garden Valley Boulevard,Roseburg,OR,97470,125,50,0.49,NULL,NULL,NULL,NULL
Wolf Creek - Wolf Creek Inn,Webasto,100 Front Street,Wolf Creek,OR,97497,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Central Point - Fairground Chevron,Webasto,1510 East Pine Street,Central Point,OR,97497,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Halsey - Pioneer Villa Truck Plaza,Webasto,33180 Highway 228,Halsey,OR,97348,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Oakland - Rodeway Inn,Webasto,621 John Long Road,Oakland,OR,97462,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Redmond - Fred Meyer,EVCS,944 Southwest Veterans Way,Redmond,OR,97756,125,50,NULL,NULL,19.99,NULL,0.49
Coos Bay -Fred Meyer,Webasto,1020 1st Street,Coos Bay,OR,97420,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Reedsport - Recreation Station,Webasto,1575 Highway 101 South,Reedsport,OR,97467,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Power Nissan - Salem,None,2755 Mission Street Southeast,Salem,OR,97302,NULL,NULL,0,NULL,NULL,NULL,NULL
Madras - Dairy Queen,Webasto,483 Southeast 5th street,Madras,OR,97741,NULL,NULL,NULL,NULL,19.99,NULL,7.5
3545 Gateway Street,Webasto,3545 Gateway Street,Springfield,OR,97477,NULL,NULL,NULL,NULL,NULL,NULL,7.5
Albany - Chevron,Webasto,33157 Highway 34 Southeast,Albany,OR,97322,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Spirit Mountain Casino Service Station,Webasto,26820 Salmon River Highway,Grand Ronde,OR,97347,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Brookings,Webasto,325 5th Street,Brookings,OR,97415,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Shari's,Blink,4998 River Road N,Keizer,OR,97303,NULL,NULL,0.49,NULL,NULL,NULL,NULL
Fred Meyer,ChargePoint,1101 Grants Pass Parkway,Grants Pass,OR,97526,50,24,0.15,NULL,NULL,NULL,NULL
Fred Meyer,ChargePoint,1307 Center Drive,Medford,OR,97501,50,24,0.15,NULL,NULL,NULL,NULL
Fred Meyer,"ChargePoint, None",929 Northwest Garden Valley Boulevard,Roseburg,OR,97471,50,24,0.15,NULL,NULL,NULL,NULL
Fred Meyer,ChargePoint,2500 Santiam Highway Southeast,Albany,OR,97322,50,24,0.15,NULL,NULL,NULL,NULL
Warm Springs - Indian Head Casino,Webasto,3236 US 26,Warm Springs,OR,97761,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Port Orford - Seaside Plaza,Webasto,1320 Oregon Street,Port Orford,OR,97465,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Airport Rd SE Park n Ride,OpConnect,700 Airport Road,Salem,OR,97301,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lassen Chevrolet Toyota,None,1205 Price Road Southeast,Albany,OR,97322,NULL,NULL,0,NULL,NULL,NULL,NULL
Power Chevrolet,None,1422 North Coast Highway,Newport,OR,97365,NULL,NULL,0,NULL,NULL,NULL,NULL
Guaranty Chevrolet,None,20 Highway 99 South,Junction City,OR,97448,NULL,NULL,0,NULL,NULL,NULL,NULL
Airport Chevrolet,None,3001 Biddle Road,Medford,OR,97504,NULL,NULL,0,NULL,NULL,NULL,NULL
Sutherlin Dairy Queen,Electrify America,1621 West Central Avenue,Sutherlin,OR,97479,875,350,0.43,0.31,4,NULL,NULL
Detroit - Mountain High Grocery,Webasto,245 North Detroit Avenue,Detroit,OR,97342,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Walmart - Salem,Electrify America,3025 Lancaster Drive Northeast,Salem,OR,97305,875,350,0.43,0.31,4,NULL,NULL
Madras Chamber of Commerce,ChargePoint,274 Southwest 4th Street,Madras,OR,97741,62,62,0.28,NULL,NULL,NULL,NULL
Walmart - Albany,Electrify America,1330 Goldfish Farm Road Southeast,Albany,OR,97322,875,350,0.43,0.31,4,NULL,NULL
Walmart - Grants Pass,Electrify America,135 Northeast Terry Lane,Grants Pass,OR,97526,875,350,0.43,0.31,4,NULL,NULL
Pacific Power,ChargePoint,70 Northwest Newport Avenue,Bend,OR,97703,62,62,0.28,NULL,NULL,NULL,NULL
"Target T0612 - Springfield, OR",Electrify America,2750 Gateway Street,Springfield,OR,97477,875,350,0.43,0.31,4,NULL,NULL
Mercedes Benz,ChargePoint,2200 Martin Luther King Jr Boulevard,Eugene,OR,97401,62,62,NULL,NULL,NULL,0.3,NULL
Otis Fuel and Market,ChargePoint,1264 Salmon River Highway,Otis,OR,97368,62,62,0.28,NULL,NULL,NULL,NULL
"Madras, OR City Hall",OpConnect,71 Southeast D Street,Madras,OR,97741,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pin Square,ChargePoint,Pine Street North 6th Street,Klamath Falls,OR,97601,62,62,0.28,NULL,NULL,NULL,NULL
Pacific Power Mill City,ChargePoint,143 Northeast Wall Street,Mill City,OR,97360,62,62,0.28,NULL,NULL,NULL,NULL
Otec John Day,ChargePoint,240 South Canyon Boulevard,John Day,OR,97845,62,62,0.29,NULL,NULL,NULL,3
Walmart,Electrify America,160 Northwest 25th Street,Newport,OR,97365,875,350,0.43,0.31,4,NULL,NULL
Dallas Aquatic Center,EVConnect,1005 Southeast Lacreole Drive,Dallas,OR,97338,125,50,NULL,NULL,NULL,0.1,NULL
