STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Lithia Nissan of Bend,None,1835 Northeast Highway 20,Bend,OR,97701,"? A, ? kW",Cost: 0.00$ / Free
Canyonville - 7 Feathers Truck and Travel Center,Webasto,130 Creekside Road,Canyonville,OR,97417,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Roth's South Salem Oregon,OpConnect,3045 Commercial Street Southeast,Salem,OR,97302,"? A, ? kW",Cost: Unknown
Sisters - Sisters Mainline Station,Webasto,1001 West Railway Avenue,Sisters,OR,97759,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Mill City - Mountain Edge Café,Webasto,320 Northwest Santiam Boulevard,Mill City,OR,97360,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Veneta - Veneta Park n' Ride,Webasto,88184 Territorial Road,Veneta,OR,97487,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Springfield - Gateway Marketplace,Webasto,840 Beltline Road,Springfield,OR,97477,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Cottage Grove - Vintage Inn Restaurant,Webasto,1570 Gateway Boulevard,Cottage Grove,OR,97424,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Lincoln City - Lincoln City Cultural Center,Webasto,540 U.S. 101,Lincoln City,OR,97367,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Yachats - Yachats City Hall,Webasto,441 Highway 101 North,Yachats,OR,97498,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
McKenzie Bridge - Blue Sky Market,Webasto,91808 Mill Creek Road,McKenzie Bridge,OR,97413,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Grants Pass - Grants Pass Chamber of Commerce,Webasto,1995 Northwest Vine Street,Grants Pass,OR,97528,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Florence - Three Rivers Casino,Webasto,5647 Highway 126,Florence,OR,97439,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Newport - City of Newport Public Parking Lot,Webasto,925 Southwest Hurbert Street,Newport,OR,97365,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Monmouth - Dairy Queen,Webasto,320 Pacific Avenue South,Monmouth,OR,97361,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Ashland - Shell,Webasto,2373 Ashland Street,Ashland,OR,97520,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Elkton - Brandborg Winery,Webasto,345 First Street,Elkton,OR,97436,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Roseburg - Wagon Wheel Restaurant,Webasto,188 Northwest Garden Valley Boulevard,Roseburg,OR,97470,"125 A, 50 kW",Cost: 0.49$ / kWh
Wolf Creek - Wolf Creek Inn,Webasto,100 Front Street,Wolf Creek,OR,97497,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Central Point - Fairground Chevron,Webasto,1510 East Pine Street,Central Point,OR,97497,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Halsey - Pioneer Villa Truck Plaza,Webasto,33180 Highway 228,Halsey,OR,97348,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Oakland - Rodeway Inn,Webasto,621 John Long Road,Oakland,OR,97462,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Redmond - Fred Meyer,EVCS,944 Southwest Veterans Way,Redmond,OR,97756,"125 A, 50 kW",Cost: 0.49$ / Session $19.99 for monthly plan.
Coos Bay -Fred Meyer,Webasto,1020 1st Street,Coos Bay,OR,97420,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Reedsport - Recreation Station,Webasto,1575 Highway 101 South,Reedsport,OR,97467,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Power Nissan - Salem,None,2755 Mission Street Southeast,Salem,OR,97302,"? A, ? kW",Cost: 0.00$ / Free
Madras - Dairy Queen,Webasto,483 Southeast 5th street,Madras,OR,97741,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
3545 Gateway Street,Webasto,3545 Gateway Street,Springfield,OR,97477,"? A, ? kW",Cost: 7.50$ / Session
Albany - Chevron,Webasto,33157 Highway 34 Southeast,Albany,OR,97322,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Spirit Mountain Casino Service Station,Webasto,26820 Salmon River Highway,Grand Ronde,OR,97347,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Brookings,Webasto,325 5th Street,Brookings,OR,97415,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Shari's,Blink,4998 River Road N,Keizer,OR,97303,"? A, ? kW",Cost: 0.49$ / kWh
