STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Baker Nissan North,None,19630 Northwest Freeway,Houston,TX,77065.0,"? A, ? kW",Cost: 0.00$ / Free
Central Houston Nissan,None,2901 South Loop West,Houston,TX,77054.0,"? A, ? kW",Cost: 0.00$ / Free
Mossy Nissan,None,12150 Katy Freeway,Houston,TX,77079.0,"? A, ? kW",Cost: 0.00$ / Free
Sterling McCall Nissan,None,12230 Southwest Freeway,Stafford,TX,77477.0,"? A, ? kW",Cost: 0.00$ / Free
Keating Nissan,None,333 Interstate 45 South,Conroe,TX,77301.0,"? A, ? kW",Cost: Unknown
McDavid Nissan,None,11911 Gulf Freeway,Houston,TX,77034.0,"? A, ? kW",Cost: 0.00$ / Free
Cracker Barrel - Kingwood,EVgo,24400 Highway 59 North,Kingwood,TX,77339.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens - Blackhawk Boulevard,EVgo,9885 Blackhawk Boulevard,Houston,TX,77075.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel - League City,EVgo,231 Gulf Freeway South,League City,TX,77573.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens - Holzworth,EVgo,19710 Holzwarth Road,Spring,TX,77388.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel - Katy Fwy,EVgo,18151 Katy Freeway,Houston,TX,77094.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens - Baytown,EVgo,7216 Garth Road,Baytown,TX,77521.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
H-E-B - W Alabama,EVgo,1701 West Alabama Street,Houston,TX,77098.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
H-E-B - Spring,EVgo,130 Sawdust Road,Spring,TX,77380.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,8942 West Sam Houston Parkway North,Houston,TX,77040.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel - Pearland,EVgo,11019 Shadow Creek Parkway,Pearland,TX,77584.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,12611 South Gessner Road,Houston,TX,77071.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Memorial City Mall,EVgo,303 Memorial City,Houston,TX,77024.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Whole Foods - Sugarland,EVgo,15900 Southwest Freeway,Sugar Land,TX,77478.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,13631 Tidwell Road,Houston,TX,77044.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
H-E-B - Buffalo Speedway,EVgo,5225 Buffalo Speedway,Houston,TX,77005.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens - Eastex Freeway,EVgo,10660 Eastex Freeway,Houston,TX,77093.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Katy Mills - Entry 6,EVgo,5000 Katy Mills Circle,Katy,TX,77494.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Clay Cooley Nissan of Austin,None,4914 South IH-35,Austin,TX,78745.0,"? A, ? kW",Cost: 0.00$ / Free
Tom Peacock Nissan,None,15300 North Freeway,Houston,TX,77090.0,"? A, ? kW",Cost: 0.00$ / Free
Gables Park Plaza,ChargePoint,812 Electric Drive,Austin,TX,78703.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Round Rock Premium Outlets,EVgo,4401 North Interstate 35,Round Rock,TX,78664.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Barton Creek Square Mall,EVgo,2901 South Capital of Texas Highway,Austin,TX,78746.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Pie Ae Seaholm,ChargePoint,900 Electric Drive,Austin,TX,78703.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Jaguar Land Rover,ChargePoint,20415 Katy Freeway,Katy,TX,77450.0,"50 A, 24 kW",Cost: Free
Walmart - Huntsville,Electrify America,141 I-45 South,Huntsville,TX,77340.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Round Rock Premium Outlets,Electrify America,4401 North I-35,Round Rock,TX,78664.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Snappy's Market - Columbus,Electrify America,2006 Alleyton Road South,Columbus,TX,78934.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Stafford,Electrify America,11210 West Airport Boulevard,Stafford,TX,77477.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Pearland,Electrify America,10505 Broadway Street,Pearland,TX,77584.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - League City,Electrify America,1701 West FM 646 Road,League City,TX,77573.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - San Antonio,Electrify America,4331 Thousand Oaks Drive,San Antonio,TX,78217.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Harley Davidson Woodlands,ChargePoint,25545 I-45,The Woodlands,TX,77380.0,"50 A, 24 kW",Cost: Parking TUESDAY 00:00 AM - 09:00 AM 20 USD per hour Parking WEDNESDAY 00:00 AM - 09:00 AM 20 USD per hour Parking THURSDAY 00:00 AM - 09:00 AM 20 USD per hour Parking FRIDAY 00:00 AM - 09:00 AM 20 USD per hour Parking SATURDAY 00:00 AM - 09:00 AM 20 USD per hour Parking TUESDAY 6:00 PM - 11:59 PM 20 USD per hour Parking WEDNESDAY 6:00 PM - 11:59 PM 20 USD per hour Parking THURSDAY 6:00 PM - 11:59 PM 20 USD per hour Parking FRIDAY 6:00 PM - 11:59 PM 20 USD per hour Parking SATURDAY 6:00 PM - 11:59 PM 20 USD per hour Parking SUNDAY 20 USD per hour Parking MONDAY 20 USD per hour
Alamo City Harley Davidson,ChargePoint,11005 North Interstate 35 Frontage Road,San Antonio,TX,78233.0,"50 A, 24 kW",Cost: Free
Stubbs Harley Davidson,ChargePoint,4400 Telephone Road,Houston,TX,77087.0,"50 A, 24 kW",Cost: 6.20$ / Hour
Walmart - Vidor,Electrify America,1360 North Main Street,Vidor,TX,77662.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
10917 S IH 35 Frontage Road,ChargePoint,10917 South IH 35 Frontage Road,Austin,TX,78747.0,"50 A, 24 kW",Cost: Free
Walmart - Houston,Electrify America,13750 East Freeway,Houston,TX,77015.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Madisonville,Electrify America,1620 East Main Street,Madisonville,TX,77864.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Houston,Electrify America,111 Yale Street,Houston,TX,77007.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
GVEC Western Operations Center,ChargePoint,6400 I-10,Seguin,TX,78155.0,"62 A, 62 kW",Cost: 15.60$ / Hour
Parking Garage 70 Rainey,ChargePoint,70 Rainey Street,Austin,TX,78701.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Guadelupe Valley Electric Coop,ChargePoint,927 TX-46,Seguin,TX,78155.0,"62 A, 62 kW",Cost: 15.60$ / Hour
316 W 8th Street Parking,ChargePoint,316 West 8th Street,Austin,TX,78701.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Walmart - Bellmead,Electrify America,1521 North Interstate 35 Frontage Road,Bellmead,TX,76705.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Walmart - Spring,Electrify America,1025 Sawdust Road,Spring,TX,77380.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Village Plaza at Bunker Hill,EVgo,9710 Katy Freeway,Houston,TX,77055.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
901 East 5th Street,ChargePoint,901 East 5th Street,Austin,TX,78702.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Austin High School,ChargePoint,2102 Veterans Drive,Austin,TX,78703.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Bartholomew Municipal Pool,ChargePoint,1800 East 51st Street,Austin,TX,78723.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
