STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Alan Webb Nissan,None,3608 Northeast Auto Mall Drive,Vancouver,WA,98662,NULL,NULL,0,NULL,NULL,NULL,NULL
Tumwater - Shell Station & Deli Mart,Webasto,6131 Capital Boulevard Southwest,Tumwater,WA,98501,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Castle Rock - Cascade Select Market,Webasto,204 West Cowlitz Street,Castle Rock,WA,98611,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Ridgefield - Country Café,Webasto,6370 North 1st Circle,Ridgefield,WA,98642,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Centralia - Wendy's,Webasto,817 Harrison Avenue,Centralia,WA,98531,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Clark Public Utilities - Administration Building,ChargePoint,850 Officers Row,Vancouver,WA,98661,62,62,0.39,NULL,NULL,NULL,NULL
Walmart Highway 99,Electrify America,9000 Northeast HIGHWAY 99,Vancouver,WA,98665,875,350,0.43,0.31,4,NULL,NULL
Three Rivers Mall,Electrify America,351 Three Rivers Drive,Kelso,WA,98626,875,350,0.43,0.31,4,NULL,NULL
Walmart - Vancouver,Electrify America,430 Southeast 192nd Avenue,Vancouver,WA,98683,875,350,0.43,0.31,4,NULL,NULL
Cafaro Vancouver Plaza,Electrify America,7809 Northeast Vancouver Plaza Drive,Vancouver,WA,98663,875,350,0.43,0.31,4,NULL,NULL
Chehalis Commerce District,EVgo,700 Northwest Arkansas Way,Chehalis,WA,98532,125,50,0.29,0.25,6.99,NULL,NULL
Twin Transit Mellen St.,ChargePoint,12 Airport Road,Centralia,WA,98531,62,62,0.35,NULL,NULL,NULL,NULL
Walmart,Electrify America,909 East Wishkah Street,Aberdeen,WA,98520,875,350,0.43,0.31,4,NULL,NULL
EZstop Kalama Waterfront,None,215 North Hendrickson Drive,Kalama,WA,98625,NULL,NULL,0,NULL,NULL,NULL,NULL
Kroger QFC,Electrify America,4775 Whitman Lane Southeast,Lacey,WA,98512,875,350,0.43,0.31,4,NULL,NULL
1920 Schurman Way,EVConnect,1920 Schurman Way,Woodland,WA,98674,300,120,0.35,NULL,NULL,NULL,NULL
AAA parking lot,ChargePoint,4301 Northeast Fourth Plain Boulevard,Vancouver,WA,98661,62,62,0.35,NULL,NULL,NULL,NULL
3rd and Main Public Parking Lot,Shell Recharge,269-299 North Main Street,Ellensburg,WA,98926,125,50,NULL,NULL,NULL,0.35,NULL
Express Mart,Shell Recharge,51 Firing Center Road,Yakima,WA,98901,125,50,NULL,NULL,NULL,0.35,NULL
Harvest Chevrolet,None,1600 East Yakima Avenue,Yakima,WA,98901,NULL,24,0,NULL,NULL,NULL,NULL
Taco Bell - Ellensburg,Electrify America,1406 Canyon Road,Ellensburg,WA,98926,875,350,0.43,0.31,4,NULL,NULL
Walmart - Yakima,Electrify America,1600 East Chestnut Avenue,Yakima,WA,98901,875,350,0.43,0.31,4,NULL,NULL
Electric Vehicle Infrastructure Transportation Alliance - Prosser,Shell Recharge,40 Merlot Drive,Prosser,WA,99350,125,50,NULL,NULL,NULL,0.35,NULL
Wolf Den,ChargePoint,61 West Wapato Road,Wapato,WA,98951,62,62,0.11,NULL,NULL,0.1,NULL
Benton Public Utility District - Southridge,Shell Recharge,2901 Southridge Boulevard,Kennewick,WA,99337,125,50,NULL,NULL,NULL,0.35,NULL
Starbucks - West Court Street,Shell Recharge,2411 West Court Street,pasco,WA,99301,125,50,NULL,NULL,NULL,0.35,NULL
Columbia Ave Parking-Charging,Shell Recharge,303 South Columbia Avenue,Connell,WA,99326,125,50,NULL,NULL,NULL,0.35,NULL
Kennewick Recharge,Shell Recharge,10799 Ridgeline Drive,Kennewick,WA,99338,125,50,0,NULL,NULL,NULL,NULL
2550 Duportail Street,"Shell Recharge, Unknown",2550 Duportail Street,Richland,WA,99352,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Electric Vehicle Infrastructure Transportation Alliance - Richland,Shell Recharge,2700 Duprotail Street,Richland,WA,99352,125,50,NULL,NULL,NULL,0.35,NULL
Speck Buick GMC,EVConnect,9610 Sandifur Parkway,Pasco,WA,99301,125,50,0.45,NULL,NULL,NULL,NULL
Standard Paint & Flooring LLC,ChargePoint,1457 Tapteal Drive,Richland,WA,99352,62,62,0,NULL,NULL,NULL,NULL
Kohl's,ChargePoint,1457 Tapteal Drive,Richland,WA,99352,62,62,0,NULL,NULL,NULL,NULL
Conoco,EVgo,1293 South Division Street,Ritzville,WA,99169,125,50,0.29,0.25,6.99,NULL,NULL
Avista Pullman,Shell Recharge,150 East Spring Street,Pullman,WA,99163,125,50,0.35,NULL,NULL,NULL,NULL
Cow Creek Mercantile,Electrify America,1611 Smittys Boulevard,Ritzville,WA,99169,875,350,0.43,0.31,4,NULL,NULL
EN Moses Lake,Shell Recharge,312 West Third Avenue,Moses Lake,WA,98837,125,50,NULL,NULL,NULL,0.35,NULL
120 North 1st Street,Shell Recharge,120 North 1st Street,Dayton,WA,99328,125,50,NULL,NULL,NULL,0.35,NULL
Sprague,EVConnect,105 West 1st Street,Sprague,WA,99032,200,180,0.35,NULL,NULL,NULL,NULL
Dave Smith Nissan,None,6901 East Sprague Avenue,Spokane Valley,WA,99212,50,20,0,NULL,NULL,NULL,NULL
Kendall Yards - Bridge Lane Parking,Shell Recharge,500 North Cedar Street,Spokane,WA,99201,125,50,0.35,NULL,NULL,NULL,NULL
STA Park & Ride,Shell Recharge,East Mission Avenue,Liberty Lake,WA,99019,125,50,0.35,NULL,NULL,NULL,NULL
Washington Trust Bank - East Hastings Road,Shell Recharge,438 East Hasting Road,Spokane,WA,99218,125,50,0.35,NULL,NULL,NULL,NULL
Walmart - Spokane Valley,Electrify America,15727 East Broadway Avenue,Spokane Valley,WA,99037,875,350,0.43,0.31,4,NULL,NULL
West Plains Transit Center,Shell Recharge,10810 West Westbow Road,Spokane,WA,99201,125,50,0.35,NULL,NULL,NULL,NULL
Gonzaga Fast,Shell Recharge,721 North Cincinnati,SPOKANE,WA,99201,125,50,0.35,NULL,NULL,NULL,NULL
Lone Wolf Harley-Davidson,ChargePoint,19011 East Cataldo Avenue,Spokane Valley,WA,99016,50,24,0,NULL,NULL,NULL,NULL
Town Nissan,None,555 3rd Street Southeast,East Wenatchee,WA,98802,NULL,NULL,0,NULL,NULL,NULL,NULL
