STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Alan Webb Nissan,None,3608 Northeast Auto Mall Drive,Vancouver,WA,98662,"? A, ? kW",Cost: 0.00$ / Free
Tumwater - Shell Station & Deli Mart,Webasto,6131 Capital Boulevard Southwest,Tumwater,WA,98501,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Castle Rock - Cascade Select Market,Webasto,204 West Cowlitz Street,Castle Rock,WA,98611,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Ridgefield - Country Café,Webasto,6370 North 1st Circle,Ridgefield,WA,98642,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Centralia - Wendy's,Webasto,817 Harrison Avenue,Centralia,WA,98531,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Clark Public Utilities - Administration Building,ChargePoint,850 Officers Row,Vancouver,WA,98661,"62 A, 62 kW","Cost: Energy MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 00:00 AM - 06:00 AM 0.19 USD per kWh MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 06:00 AM - 9:00 PM 0.39 USD per kWh MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 9:00 PM - 11:59 PM 0.19 USD per kWh SATURDAY,SUNDAY 0.19 USD per kWh"
Walmart Highway 99,Electrify America,9000 Northeast HIGHWAY 99,Vancouver,WA,98665,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Three Rivers Mall,Electrify America,351 Three Rivers Drive,Kelso,WA,98626,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Vancouver,Electrify America,430 Southeast 192nd Avenue,Vancouver,WA,98683,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Cafaro Vancouver Plaza,Electrify America,7809 Northeast Vancouver Plaza Drive,Vancouver,WA,98663,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Chehalis Commerce District,"Tesla, EVgo",700 Northwest Arkansas Way,Chehalis,WA,98532,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Twin Transit Mellen St.,ChargePoint,12 Airport Road,Centralia,WA,98531,"62 A, 62 kW",Cost: 0.35$ / kWh Time not charging: $15/hr after 15 mins
Walmart,Electrify America,909 East Wishkah Street,Aberdeen,WA,98520,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
EZstop Kalama Waterfront,None,215 North Hendrickson Drive,Kalama,WA,98625,"? A, ? kW",Cost: 0.00$ / Free
Kroger QFC,Electrify America,4775 Whitman Lane Southeast,Lacey,WA,98512,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
1920 Schurman Way,EVConnect,1920 Schurman Way,Woodland,WA,98674,"300 A, 120 kW",Cost: 0.35$ / kWh
AAA parking lot,ChargePoint,4301 Northeast Fourth Plain Boulevard,Vancouver,WA,98661,"62 A, 62 kW",Cost: 0.35$ / kWh Time not charging: $300/hr after 5 mins
3rd and Main Public Parking Lot,Shell Recharge,269-299 North Main Street,Ellensburg,WA,98926,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Express Mart,Shell Recharge,51 Firing Center Road,Yakima,WA,98901,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Harvest Chevrolet,None,1600 East Yakima Avenue,Yakima,WA,98901,"? A, 24 kW",Cost: 0.00$ / Free
Taco Bell - Ellensburg,Electrify America,1406 Canyon Road,Ellensburg,WA,98926,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Yakima,Electrify America,1600 East Chestnut Avenue,Yakima,WA,98901,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Electric Vehicle Infrastructure Transportation Alliance - Prosser,Shell Recharge,40 Merlot Drive,Prosser,WA,99350,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Wolf Den,ChargePoint,61 West Wapato Road,Wapato,WA,98951,"62 A, 62 kW",Cost: Energy 0.11 USD per kWh Parking 0.1 USD per minute
Benton Public Utility District - Southridge,Shell Recharge,2901 Southridge Boulevard,Kennewick,WA,99337,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Starbucks - West Court Street,Shell Recharge,2411 West Court Street,pasco,WA,99301,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Columbia Ave Parking-Charging,Shell Recharge,303 South Columbia Avenue,Connell,WA,99326,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Kennewick Recharge,Shell Recharge,10799 Ridgeline Drive,Kennewick,WA,99338,"125 A, 50 kW",Cost: Free
2550 Duportail Street,"Shell Recharge, Unknown",2550 Duportail Street,Richland,WA,99352,"? A, ? kW",Cost:
Electric Vehicle Infrastructure Transportation Alliance - Richland,Shell Recharge,2700 Duprotail Street,Richland,WA,99352,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Speck Buick GMC,EVConnect,9610 Sandifur Parkway,Pasco,WA,99301,"125 A, 50 kW","Cost: 0.45/kWh + While parked, not charging: 15.00/hr after 15 mins + While charging: 1.00/hr (4:00 PM-8:00 PM)"
Standard Paint & Flooring LLC,ChargePoint,1457 Tapteal Drive,Richland,WA,99352,"62 A, 62 kW",Cost: Free
Kohl's,ChargePoint,1457 Tapteal Drive,Richland,WA,99352,"62 A, 62 kW",Cost: Free
Conoco,EVgo,1293 South Division Street,Ritzville,WA,99169,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Avista Pullman,Shell Recharge,150 East Spring Street,Pullman,WA,99163,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, 0.5-25kWhs, Maximum power of 50 KW"
Cow Creek Mercantile,Electrify America,1611 Smittys Boulevard,Ritzville,WA,99169,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
